year	algorithm	n_articles	pct_missing_params	pct_missing_justification	pct_missing_evaluation	pct_missing_tuning	pct_missing_reporting_signals
2019	spectral	173	35.26011560693642	18.497109826589597	53.75722543352601	69.36416184971098	87.86127167630057
2019	affinity propagation	84	40.476190476190474	17.857142857142858	71.42857142857143	76.19047619047619	95.23809523809524
2019	GMM/mixture	847	58.913813459268006	18.890200708382526	60.44864226682409	71.42857142857143	93.38842975206612
2019	DPM	56	62.5	17.857142857142858	71.42857142857143	78.57142857142857	94.64285714285714
2019	SOM	312	62.82051282051282	15.384615384615385	69.87179487179488	73.07692307692308	93.91025641025641
2019	MCL	470	81.91489361702128	24.46808510638298	63.191489361702125	84.68085106382979	96.80851063829788
2019	graph-based	117	50.427350427350426	13.675213675213675	58.97435897435897	76.06837606837607	90.5982905982906
2019	community detection	268	26.865671641791046	20.895522388059703	24.253731343283583	79.4776119402985	88.05970149253731
2019	louvain	274	24.452554744525546	17.51824817518248	25.912408759124087	74.08759124087591	83.94160583941606
2019	leiden	267	87.64044943820225	16.10486891385768	73.03370786516854	86.89138576779027	97.37827715355806
2019	SNN	111	45.945945945945944	18.91891891891892	43.24324324324324	73.87387387387388	87.38738738738739
2019	Seurat	375	49.6	11.466666666666667	58.13333333333333	77.86666666666666	91.73333333333333
2019	SC3	80	42.5	13.75	47.5	81.25	91.25
2019	generic cluster*	33014	82.87999030714242	24.83188950142364	75.18628460653056	84.84582298418853	98.15532804264858
2020	k-means	3596	46.66295884315907	17.380422691879865	66.26807563959956	72.19132369299221	91.46273637374861
2020	k-medoids/PAM	744	66.12903225806451	15.86021505376344	63.03763440860215	76.88172043010752	91.66666666666667
2020	c-means/fuzzy c-means	297	49.831649831649834	27.60942760942761	74.07407407407408	70.37037037037037	94.61279461279462
2020	hierarchical	9021	79.08214166943797	17.00476665558142	70.7571222702583	81.96430550936704	97.2508591065292
2020	ward	180	66.11111111111111	17.77777777777778	65.55555555555556	86.66666666666667	97.22222222222223
2020	DBSCAN	337	45.6973293768546	14.836795252225519	65.57863501483679	69.43620178041543	90.80118694362018
2020	OPTICS	6067	93.35750782924015	32.80039558266029	81.67133673973957	89.53354211307071	99.4890390637877
2020	mean shift	144	71.52777777777777	21.52777777777778	77.08333333333333	82.63888888888889	97.91666666666667
2020	BIRCH	208	77.40384615384616	25.96153846153846	63.46153846153846	83.17307692307692	95.1923076923077
2020	spectral	240	29.166666666666668	14.583333333333334	48.75	63.75	84.16666666666667
2020	affinity propagation	90	47.77777777777778	27.77777777777778	68.88888888888889	67.77777777777777	90.0
2020	GMM/mixture	1084	56.82656826568266	18.081180811808117	57.564575645756456	69.09594095940959	91.78966789667896
2020	DPM	89	57.30337078651685	21.348314606741575	68.53932584269663	80.89887640449439	96.62921348314607
2020	SOM	432	62.26851851851852	20.60185185185185	66.20370370370371	70.37037037037037	93.75
2020	MCL	559	83.00536672629696	25.22361359570662	62.25402504472272	86.58318425760287	97.85330948121646
2020	graph-based	217	58.525345622119815	13.36405529953917	65.89861751152074	78.80184331797236	94.93087557603687
2020	community detection	344	25.872093023255815	18.313953488372093	31.3953488372093	74.70930232558139	84.88372093023256
2020	louvain	433	31.40877598152425	15.935334872979215	38.79907621247113	75.98152424942263	87.52886836027713
2020	leiden	421	77.19714964370546	19.95249406175772	74.34679334916865	84.08551068883611	95.24940617577197
2020	SNN	221	38.009049773755656	14.479638009049774	48.41628959276018	77.82805429864253	90.9502262443439
2020	Phenograph	78	43.58974358974359	16.666666666666668	57.69230769230769	80.76923076923077	89.74358974358974
2020	Seurat	995	59.79899497487437	14.472361809045227	65.82914572864321	80.40201005025126	94.17085427135679
2020	Scanpy	143	39.86013986013986	15.384615384615385	53.14685314685315	65.03496503496504	81.81818181818181
2020	SC3	96	42.708333333333336	18.75	51.041666666666664	78.125	89.58333333333333
2020	generic cluster*	44877	82.40301267910066	25.959845800744258	75.12534260311519	84.53550816676695	98.01011654076699
2021	k-means	5291	47.74144774144774	17.236817236817238	65.71536571536572	71.83897183897184	91.91079191079191
2021	k-medoids/PAM	1060	65.56603773584905	16.32075471698113	59.905660377358494	76.98113207547169	93.11320754716981
2021	c-means/fuzzy c-means	483	47.20496894409938	27.74327122153209	71.63561076604555	64.59627329192547	93.37474120082815
2021	hierarchical	11772	78.47434590553857	16.139993204213386	69.97111790689772	80.80190282025144	96.98436969079171
2021	ward	278	67.62589928057554	13.309352517985612	67.26618705035972	76.97841726618705	94.96402877697842
2021	DBSCAN	467	42.61241970021413	13.9186295503212	66.80942184154176	69.80728051391863	92.07708779443254
2021	HDBSCAN	81	34.5679012345679	7.407407407407407	58.02469135802469	66.66666666666667	91.35802469135803
2021	OPTICS	7222	92.57823317640543	32.65023539185821	80.31016338964275	88.60426474660758	99.55690944336749
2021	mean shift	213	73.70892018779342	17.370892018779344	74.17840375586854	72.7699530516432	95.77464788732394
2021	BIRCH	264	75.0	20.454545454545453	66.66666666666667	79.92424242424242	97.34848484848484
2021	spectral	333	31.83183183183183	16.816816816816818	48.348348348348345	65.16516516516516	85.28528528528528
2021	affinity propagation	118	44.067796610169495	26.271186440677965	66.94915254237289	66.94915254237289	92.37288135593221
2021	GMM/mixture	1577	56.943563728598605	16.423589093214964	59.73367152821814	70.00634115409004	92.2003804692454
2021	DPM	85	71.76470588235294	29.41176470588235	77.6470588235294	81.17647058823529	97.6470588235294
